step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.08246358,0.2871647179126739,0.029427113752091158,20.2793499887,1.16147205185,-1.57361296459,[  0   0 100   0]
2,training,0.23295957,0.4826869666576386,0.032222604757119126,20.2793576914,1.15955545609,-1.56684322418,[  0   0 100   0]
3,training,0.038362384,0.050994932651519775,0.04370805286477738,20.2798489135,1.14592729435,-1.50634861346,[  0   0 100   0]
4,training,0.07683051,0.4929623007774353,0.057916874262317265,20.2814475237,1.13102755272,-1.42254211941,[  0   0 100   0]
5,training,0.23417312,0.6661873757839203,0.07819285686359888,20.2858189293,1.11035072283,-1.30161515136,[  0   0 100   0]
6,training,0.07145485,0.12139275670051575,0.09892684546056081,20.2921295851,1.08949184306,-1.25364592103,[  0   0 100   0]
7,training,0.19525063,0.6367373466491699,4.25077200935363,20.3038455746,1.05868785742,-1.16120280908,[  0   0 100   0]
8,training,0.073024616,0.41918501257896423,0.9021485288323877,20.3202421627,1.02541631946,-1.08983455308,[  0   0 100   0]
9,training,0,0.0038371775299310684,5.650336336271236,20.3383570481,0.991343061176,-1.07961309177,[  0   0 100   0]
10,training,0.05333975,0.18538306653499603,1.445699070763292,20.3666400489,0.938479534855,-1.07991610819,[  0   0 100   0]
11,training,0.12776376,0.4815024733543396,4.671361611891791,20.3835870553,0.908372667149,-1.04443724782,[  0   0 100   0]
12,training,0.117801584,0.05109220743179321,0.18190738664733566,20.3951418678,0.893832384663,-1.05586910026,[  0   0 100   0]
13,training,0.10152924,0.101860910654068,0.19600013817682332,20.4139671528,0.864473770112,-1.05195049717,[  0   0 100   0]
14,training,0.084255576,0.41670355200767506,0.2185155738064917,20.4347557771,0.831542926079,-0.987164267884,[  0   0 100   0]
15,training,0.11924881,0.5347721576690673,0.2386734194669181,20.4589240294,0.804200645748,-0.890230319706,[  0   0 100   0]
16,training,0.076058924,0.5925586521625519,0.26302856926448764,20.4855856409,0.776201759671,-0.736010966639,[  0   0 100   0]
17,training,0.184427,0.7409233152866364,0.2838695899874325,20.5155808168,0.753264069213,-0.567653674901,[  0   0 100   0]
18,training,0.20752251,0.8844959735870361,0.3035974449360602,20.5486158439,0.73613562508,-0.355088785433,[  0   0 100   0]
19,training,0.15254267,0.8051553070545194,0.31841430661891185,20.5846027538,0.727417232942,-0.104156658674,[  0   0 100   0]
20,training,0.1685044,0.7406898140907285,0.32817666481317276,20.6203012048,0.728214775238,0.155450764104,[  0   0 100   0]
